snapshot,EN_NorthEast,EN_NorthWest,EN_Yorkshire,EN_EastMidlands,EN_WestMidlands,EN_East,EN_London,EN_SouthEast,EN_SouthWest,EN_Wales,Scotland,NorthernIreland
2030-09-18 11:00:00,1678.301707979719,4551.0119814520185,3440.2568622710855,3094.4074930885877,3573.0490055591113,3918.480620073602,5690.6127597302375,5653.541720734981,3517.884283272144,2245.537793169437,3672.659001495144,1176.9411624468034
2030-09-18 12:00:00,1653.689726125802,4484.272238668053,3389.806136359024,3049.028583738493,3520.6509076069647,3861.0168318538613,5607.160983858101,5570.6335847428,3466.2951656942937,2212.607399811082,3618.800141511481,1159.681539581891
2030-09-18 13:00:00,1638.967952186447,4444.35154427343,3359.6287948364225,3021.8849734013897,3489.3087362417227,3826.6445937752205,5557.24390743088,5521.041689093976,3435.4368897854374,2192.90992848865,3586.584208393332,1149.3576141213603
2030-09-18 14:00:00,1629.3477804356392,4418.264746712904,3339.908942485332,3004.1475597951476,3468.827707744821,3804.1835211396583,5524.624818827412,5488.6350949189045,3415.2720702874676,2180.038310030236,3565.532206712976,1142.6112847399984
2030-09-18 15:00:00,1679.508865691994,4554.2854031413035,3442.7313473912236,3096.633217970141,3575.6190045306253,3921.299078803896,5694.705865902874,5657.60816269676,3520.4146037283845,2247.152948687864,3675.300647283343,1177.7877048738217
2030-09-18 16:00:00,1729.6155167809518,4690.158451695122,3545.4421707399733,3189.0185118931813,3682.294412768643,4038.2875441646443,5864.602343203976,5826.397863065197,3625.443037838383,2314.194755399038,3784.949968547611,1212.9259520069568
2030-09-18 17:00:00,1752.8949288702572,4753.284695823849,3593.1613363757374,3231.9404649969283,3731.855513624472,4092.640062954879,5943.535778619404,5904.817092966059,3674.2389590505254,2345.3421941466445,3835.8927412045136,1229.2510848452273
2030-09-18 18:00:00,1737.246840165614,4710.852135073266,3561.085193992269,3203.0889404409227,3698.5412486629416,4056.105075211735,5890.477849389727,5852.10480534767,3641.4390369295033,2324.4053301667805,3801.649736169095,1218.2775634440707
2030-09-18 19:00:00,1684.8226010328972,4568.694536545468,3453.6236764545365,3106.430540094644,3586.931771886665,3933.705530429685,5712.723132994364,5675.508057751329,3531.552711943583,2254.2626319314463,3686.928793664022,1181.514063382141
2030-09-18 20:00:00,1577.8613299368285,4278.650127965607,3234.369745450412,2909.2182288777412,3359.2147520528474,3683.973515086083,5350.049859647729,5315.197390265684,3307.3514418628765,2111.150356284184,3452.863444606362,1106.5054268884478
2030-09-18 21:00:00,1423.723380178777,3860.677809394971,2918.410977804362,2625.0228279955118,3031.0601386818757,3324.0939022172734,4827.4147580558365,4795.966952995446,2984.2632460209206,1904.916524847519,3115.560487718854,998.4132424481515
2030-09-18 22:00:00,1249.0215895157314,3386.942998360476,2560.2995421060245,2302.9123710297763,2659.125785978748,2916.2020566984147,4235.053900429359,4207.46498251865,2618.0712313724703,1671.1686405410192,2733.257293361556,875.9002713852707
2030-09-18 23:00:00,1136.3148454177374,3081.318723331963,2329.2682871392985,2095.106711415525,2419.176843542226,2653.055573321946,3852.899468349472,3827.8000647410004,2381.8268887754602,1520.3690243493756,2486.6190183287645,796.8625120934888
2030-09-19 00:00:00,1098.666414140542,2979.228341721352,2252.094872228683,2025.6915476858624,2339.0245745573043,2565.154424419793,3725.245041024999,3700.9772319131253,2302.912100063645,1469.9960938539093,2404.232252370689,770.460829808949
2030-09-19 01:00:00,1083.1273938963081,2937.0915393959463,2220.242303185811,1997.0411206199838,2305.942512752185,2528.874088534741,3672.5569299093954,3648.632353258457,2270.340796087294,1449.2051615314633,2370.2279238860933,759.5637947510822
